[ 2017-07-07T10:49:28+08:00 ]  127.0.0.1 /favicon.ico | ERR: (ThinkException) 无法加载模块favicon.ico
[ 2017-07-07T10:49:28+08:00 ]  127.0.0.1 /favicon.ico | ERR: (ThinkException) 无法加载模块favicon.ico
[ 2017-07-07T10:49:34+08:00 ] 127.0.0.1 /Public/doLogin.html
[ 2017-07-07T10:49:34+08:00 ] /Public/doLogin.html | SQL: SHOW COLUMNS FROM `auth_group` [ RunTime:0.007239s ]
[ 2017-07-07T10:49:34+08:00 ] /Public/doLogin.html | SQL: SELECT * FROM `auth_group` WHERE status=1  [ RunTime:0.005823s ]
[ 2017-07-07T10:49:34+08:00 ] /Public/doLogin.html | SQL: SHOW COLUMNS FROM `user` [ RunTime:0.006596s ]
[ 2017-07-07T10:49:34+08:00 ] /Public/doLogin.html | SQL: SELECT * FROM `user` WHERE username='qjx' LIMIT 1   [ RunTime:0.005804s ]

[ 2017-07-07T10:49:44+08:00 ] 127.0.0.1 /Public/doLogin.html
[ 2017-07-07T10:49:44+08:00 ] /Public/doLogin.html | SQL: SHOW COLUMNS FROM `auth_group` [ RunTime:0.006143s ]
[ 2017-07-07T10:49:44+08:00 ] /Public/doLogin.html | SQL: SELECT * FROM `auth_group` WHERE status=1  [ RunTime:0.004848s ]
[ 2017-07-07T10:49:44+08:00 ] /Public/doLogin.html | SQL: SHOW COLUMNS FROM `user` [ RunTime:0.005884s ]
[ 2017-07-07T10:49:44+08:00 ] /Public/doLogin.html | SQL: SELECT * FROM `user` WHERE username='qudao' LIMIT 1   [ RunTime:0.005830s ]
[ 2017-07-07T10:49:44+08:00 ] /Public/doLogin.html | SQL: SHOW COLUMNS FROM `common` [ RunTime:0.005227s ]
[ 2017-07-07T10:49:44+08:00 ] /Public/doLogin.html | SQL: SHOW COLUMNS FROM `common` [ RunTime:0.004362s ]
[ 2017-07-07T10:49:44+08:00 ] /Public/doLogin.html | SQL: UPDATE `user` SET `lasttime`='2017-07-07 10:49:44',`lastip`='127.0.0.1' WHERE username='qudao' [ RunTime:0.004876s ]
[ 2017-07-07T10:49:44+08:00 ] /Public/doLogin.html | SQL: UPDATE `user` SET `logincount`=logincount+1,`lasttime`='2017-07-07 10:49:44',`lastip`='127.0.0.1' WHERE username='qudao' [ RunTime:0.004422s ]
[ 2017-07-07T10:49:44+08:00 ] /Public/doLogin.html | SQL: SHOW COLUMNS FROM `user_token` [ RunTime:0.005590s ]
[ 2017-07-07T10:49:44+08:00 ] /Public/doLogin.html | SQL: SELECT * FROM `user_token` WHERE username='qudao' LIMIT 1   [ RunTime:0.005275s ]
