[ 2017-07-03T13:44:51+08:00 ]  127.0.0.1 /favicon.ico | ERR: (ThinkException) 无法加载模块favicon.ico
[ 2017-07-03T13:44:51+08:00 ]  127.0.0.1 /favicon.ico | ERR: (ThinkException) 无法加载模块favicon.ico
[ 2017-07-03T13:44:58+08:00 ] 127.0.0.1 /Public/doLogin.html
[ 2017-07-03T13:44:58+08:00 ] /Public/doLogin.html | SQL: SHOW COLUMNS FROM `auth_group` [ RunTime:0.006866s ]
[ 2017-07-03T13:44:58+08:00 ] /Public/doLogin.html | SQL: SELECT * FROM `auth_group` WHERE status=1  [ RunTime:0.007411s ]
[ 2017-07-03T13:44:58+08:00 ] /Public/doLogin.html | SQL: SHOW COLUMNS FROM `user` [ RunTime:0.008449s ]
[ 2017-07-03T13:44:58+08:00 ] /Public/doLogin.html | SQL: SELECT * FROM `user` WHERE username='qjx' LIMIT 1   [ RunTime:0.006548s ]
[ 2017-07-03T13:44:58+08:00 ] /Public/doLogin.html | SQL: SHOW COLUMNS FROM `common` [ RunTime:0.005509s ]
[ 2017-07-03T13:44:58+08:00 ] /Public/doLogin.html | SQL: SHOW COLUMNS FROM `common` [ RunTime:0.005105s ]
[ 2017-07-03T13:44:58+08:00 ] /Public/doLogin.html | SQL: UPDATE `user` SET `lasttime`='2017-07-03 13:44:58',`lastip`='127.0.0.1' WHERE username='qjx' [ RunTime:0.004792s ]
[ 2017-07-03T13:44:58+08:00 ] /Public/doLogin.html | SQL: UPDATE `user` SET `logincount`=logincount+1,`lasttime`='2017-07-03 13:44:58',`lastip`='127.0.0.1' WHERE username='qjx' [ RunTime:0.005389s ]
[ 2017-07-03T13:44:58+08:00 ] /Public/doLogin.html | SQL: SHOW COLUMNS FROM `user_token` [ RunTime:0.006093s ]
[ 2017-07-03T13:44:58+08:00 ] /Public/doLogin.html | SQL: SELECT * FROM `user_token` WHERE username='qjx' LIMIT 1   [ RunTime:0.006003s ]
[ 2017-07-03T13:44:58+08:00 ] /Public/doLogin.html | SQL: UPDATE `user_token` SET `token`='2ef9d3544f7b6df25df6ee49f89a7b93',`username`='qjx',`logintime`='2017-07-03 13:44:58' WHERE username='qjx' [ RunTime:0.005806s ]
[ 2017-07-03T13:44:58+08:00 ] /Public/doLogin.html | SQL: SHOW COLUMNS FROM `common` [ RunTime:0.006258s ]
