[ 2017-06-30T10:11:57+08:00 ]  127.0.0.1 /favicon.ico | ERR: (ThinkException) 无法加载模块favicon.ico
[ 2017-06-30T10:11:57+08:00 ]  127.0.0.1 /favicon.ico | ERR: (ThinkException) 无法加载模块favicon.ico
[ 2017-06-30T10:12:01+08:00 ] 127.0.0.1 /Public/doLogin.html
[ 2017-06-30T10:12:01+08:00 ] /Public/doLogin.html | SQL: SHOW COLUMNS FROM `auth_group` [ RunTime:0.005814s ]
[ 2017-06-30T10:12:01+08:00 ] /Public/doLogin.html | SQL: SELECT * FROM `auth_group` WHERE status=1  [ RunTime:0.005050s ]
[ 2017-06-30T10:12:01+08:00 ] /Public/doLogin.html | SQL: SHOW COLUMNS FROM `user` [ RunTime:0.006935s ]
[ 2017-06-30T10:12:01+08:00 ] /Public/doLogin.html | SQL: SELECT * FROM `user` WHERE username='qjx' LIMIT 1   [ RunTime:0.006959s ]
[ 2017-06-30T10:12:01+08:00 ] /Public/doLogin.html | SQL: SHOW COLUMNS FROM `common` [ RunTime:0.006779s ]
[ 2017-06-30T10:12:01+08:00 ] /Public/doLogin.html | SQL: SHOW COLUMNS FROM `common` [ RunTime:0.006356s ]
[ 2017-06-30T10:12:01+08:00 ] /Public/doLogin.html | SQL: UPDATE `user` SET `lasttime`='2017-06-30 10:12:01',`lastip`='127.0.0.1' WHERE username='qjx' [ RunTime:0.005766s ]
[ 2017-06-30T10:12:01+08:00 ] /Public/doLogin.html | SQL: UPDATE `user` SET `logincount`=logincount+1,`lasttime`='2017-06-30 10:12:01',`lastip`='127.0.0.1' WHERE username='qjx' [ RunTime:0.005338s ]
[ 2017-06-30T10:12:01+08:00 ] /Public/doLogin.html | SQL: SHOW COLUMNS FROM `user_token` [ RunTime:0.006145s ]
[ 2017-06-30T10:12:01+08:00 ] /Public/doLogin.html | SQL: SELECT * FROM `user_token` WHERE username='qjx' LIMIT 1   [ RunTime:0.005590s ]
[ 2017-06-30T10:12:01+08:00 ] /Public/doLogin.html | SQL: UPDATE `user_token` SET `token`='c0f19561a13e01770186b2056f5cf0f5',`username`='qjx',`logintime`='2017-06-30 10:12:01' WHERE username='qjx' [ RunTime:0.005459s ]
[ 2017-06-30T10:12:01+08:00 ] /Public/doLogin.html | SQL: SHOW COLUMNS FROM `common` [ RunTime:0.007228s ]
[ 2017-06-30T10:12:01+08:00 ] /Public/doLogin.html | SQL: SHOW COLUMNS FROM `user_operate` [ RunTime:0.007010s ]
[ 2017-06-30T10:12:01+08:00 ] /Public/doLogin.html | SQL: INSERT INTO `user_operate` (`status`,`userid`,`remark`,`type`,`ip`,`timeadd`) VALUES (1,'1','用户登录',1,'127.0.0.1','2017-06-30 10:12:01') [ RunTime:0.007972s ]

[ 2017-06-30T10:12:02+08:00 ] 127.0.0.1 /
[ 2017-06-30T10:12:02+08:00 ] / | SQL: SHOW COLUMNS FROM `auth` [ RunTime:0.007845s ]
[ 2017-06-30T10:12:02+08:00 ] / | SQL: SHOW COLUMNS FROM auth_rule ar [ RunTime:0.006084s ]
[ 2017-06-30T10:12:02+08:00 ] / | SQL: SELECT ar.*,u.username as addname FROM auth_rule ar LEFT JOIN user u on u.id=ar.adduser WHERE ar.status=1 and ar.pid != 0 ORDER BY ar.sort asc,ar.timeadd  [ RunTime:0.009023s ]
[ 2017-06-30T10:12:02+08:00 ] / | SQL: SHOW COLUMNS FROM `user` [ RunTime:0.007797s ]
[ 2017-06-30T10:12:02+08:00 ] / | SQL: SELECT `typeid` FROM `user` WHERE id=1 LIMIT 1   [ RunTime:0.006205s ]

[ 2017-06-30T10:12:02+08:00 ] 127.0.0.1 /Public/getJsMenu.html
[ 2017-06-30T10:12:02+08:00 ] /Public/getJsMenu.html | SQL: SHOW COLUMNS FROM `auth_group` [ RunTime:0.006712s ]
[ 2017-06-30T10:12:02+08:00 ] /Public/getJsMenu.html | SQL: SELECT * FROM `auth_group` WHERE status=1  [ RunTime:0.004683s ]
[ 2017-06-30T10:12:02+08:00 ] /Public/getJsMenu.html | SQL: SHOW COLUMNS FROM `user` [ RunTime:0.006609s ]
[ 2017-06-30T10:12:02+08:00 ] /Public/getJsMenu.html | SQL: SELECT `groupid` FROM `user` WHERE id='1' LIMIT 1   [ RunTime:0.004736s ]
[ 2017-06-30T10:12:02+08:00 ] /Public/getJsMenu.html | SQL: SELECT `groupid` FROM `user` WHERE id='1' LIMIT 1   [ RunTime:0.005151s ]
[ 2017-06-30T10:12:02+08:00 ] /Public/getJsMenu.html | SQL: SHOW COLUMNS FROM auth_rule ar [ RunTime:0.005242s ]
[ 2017-06-30T10:12:02+08:00 ] /Public/getJsMenu.html | SQL: SELECT ar.*,u.username as addname FROM auth_rule ar LEFT JOIN user u on u.id=ar.adduser WHERE ar.status=1 and ar.pid != 0 and ar.groupid='1' ORDER BY ar.sort asc,ar.timeadd  [ RunTime:0.007238s ]
[ 2017-06-30T10:12:02+08:00 ] /Public/getJsMenu.html | SQL: SELECT `typeid` FROM `user` WHERE id=1 LIMIT 1   [ RunTime:0.004696s ]
[ 2017-06-30T10:12:02+08:00 ] /Public/getJsMenu.html | SQL: SELECT * FROM `auth_rule` WHERE pid=0 and status=1 and groupid='1' ORDER BY sort desc,timeadd asc  [ RunTime:0.006191s ]

[ 2017-06-30T10:12:02+08:00 ]  127.0.0.1 /favicon.ico | ERR: (ThinkException) 无法加载模块favicon.ico
[ 2017-06-30T10:12:02+08:00 ]  127.0.0.1 /favicon.ico | ERR: (ThinkException) 无法加载模块favicon.ico
[ 2017-06-30T10:12:02+08:00 ] 127.0.0.1 /Index/system.html
[ 2017-06-30T10:12:02+08:00 ] /Index/system.html | SQL: SHOW COLUMNS FROM `auth` [ RunTime:0.005466s ]
[ 2017-06-30T10:12:02+08:00 ] /Index/system.html | SQL: SHOW COLUMNS FROM auth_rule ar [ RunTime:0.005602s ]
[ 2017-06-30T10:12:02+08:00 ] /Index/system.html | SQL: SELECT ar.*,u.username as addname FROM auth_rule ar LEFT JOIN user u on u.id=ar.adduser WHERE ar.status=1 and ar.pid != 0 ORDER BY ar.sort asc,ar.timeadd  [ RunTime:0.007647s ]
[ 2017-06-30T10:12:02+08:00 ] /Index/system.html | SQL: SHOW COLUMNS FROM `user` [ RunTime:0.007490s ]
[ 2017-06-30T10:12:02+08:00 ] /Index/system.html | SQL: SELECT `typeid` FROM `user` WHERE id=1 LIMIT 1   [ RunTime:0.005107s ]
[ 2017-06-30T10:12:02+08:00 ] /Index/system.html | SQL: SHOW COLUMNS FROM `member` [ RunTime:0.006293s ]
[ 2017-06-30T10:12:02+08:00 ] /Index/system.html | SQL: SELECT COUNT(*) AS tp_count FROM `member` WHERE (  (`timeadd` BETWEEN '2017-06-30' AND '2017-06-30 23:59:59' ) ) LIMIT 1   [ RunTime:0.005657s ]
